# ===================================================================
#                          METADATA
# ===================================================================
# 1. Title: Experimental data of Im6TFSA used in the artile 
# "Ionic Liquid--Electrode Interface: from One Law To Fit Them All to One Model To Predict Them All".
# 2. DOI: https://doi.org/10.1016/j.elecom.2025.108049
# 3. Authors:
#    - Ba Long Nguyen (ORCID: 0009-0003-7682-9851)
#    - Vladislav Ivanistsev (ORCID: 0000-0003-4517-0540)
# 4. Contact: balongn99@gmail.com & vladislav.ivanistsev@gmail.com
# 5. Keywords: differential capacitance, ionic liquids, modelling, fitting.
# 6. Data source DOI: https://doi.org/10.1039/C003920A
# 7. Data Format:
#     - Units: Potential (V), Capacitance (μF/cm²), Surface Charge Density (μC/cm²)
#-----------------------------------------------------------
Q,U
-13.22644,-1.2
-12.16943,-1.1
-11.13515,-1.0
-10.10869,-0.9
-9.06828,-0.8
-8.01445,-0.7
-6.94381,-0.6
-5.85806,-0.5
-4.76217,-0.4
-3.65011,-0.3
-2.51384,-0.2
-1.31476,-0.1
0.0,0.0
1.45082,0.1
3.0655,0.2
4.82748,0.3
6.74476,0.4
8.84195,0.5
11.10757,0.6
13.50556,0.7
15.89517,0.8
18.16596,0.9
