# ===================================================================
#                          METADATA
# ===================================================================
# 1. Title: Coarse-grained simulations data - LCrLAr used in the artile 
# "Ionic Liquid--Electrode Interface: from One Law To Fit Them All to One Model To Predict Them All".
# 2. DOI: https://doi.org/10.1016/j.elecom.2025.108049
# 3. Authors:
#    - Ba Long Nguyen (ORCID: 0009-0003-7682-9851)
#    - Vladislav Ivanistsev (ORCID: 0000-0003-4517-0540)
# 4. Contact: balongn99@gmail.com & vladislav.ivanistsev@gmail.com
# 5. Keywords: differential capacitance, ionic liquids, modelling, fitting.
# 6. Data Format:
#     - Units: Potential (V), Capacitance (μF/cm²), Surface Charge Density (μC/cm²)
#-----------------------------------------------------------
S,U,C
-23.0,-9.48296131,2.10905669
-22.0,-8.92268243,1.89902351
-21.0,-8.32887218,1.86226689
-20.0,-7.77877917,1.95837238
-19.0,-7.32939867,1.99454473
-18.0,-6.80986257,1.92734892
-17.0,-6.28129954,1.89832308
-16.0,-5.64864085,1.98700493
-15.0,-5.2211202,2.09557184
-14.0,-4.67975076,2.18633209
-13.0,-4.25953029,2.31478385
-12.0,-3.79543701,2.45986702
-11.0,-3.44081236,2.52396524
-10.0,-3.01846631,2.53893668
-9.0,-2.60948707,2.65202892
-8.0,-2.24558234,2.87385999
-7.0,-1.90789925,3.11852887
-6.0,-1.60794597,3.31899949
-5.0,-1.31099895,3.46305517
-4.5,-1.16951502,3.57908082
-4.0,-1.03081814,3.70269864
-3.5,-0.8977654,3.8383231
-3.0,-0.77103065,3.9504217
-2.5,-0.64727141,4.02962845
-2.0,-0.52097747,4.09283242
-1.5,-0.40406226,4.07063651
-1.0,-0.28278421,3.8746161
-0.5,-0.151129,3.58714375
-0.25,-0.07508979,3.39423852
0.0,0.0,3.34091076
0.25,0.07508979,3.39423852
0.5,0.151129,3.58714375
1.0,0.28278421,3.8746161
1.5,0.40406226,4.07063651
2.0,0.52097747,4.09283242
2.5,0.64727141,4.02962845
3.0,0.77103065,3.9504217
3.5,0.8977654,3.8383231
4.0,1.03081814,3.70269864
4.5,1.16951502,3.57908082
5.0,1.31099895,3.46305517
6.0,1.60794597,3.31899949
7.0,1.90789925,3.11852887
8.0,2.24558234,2.87385999
9.0,2.60948707,2.65202892
10.0,3.01846631,2.53893668
11.0,3.44081236,2.52396524
12.0,3.79543701,2.45986702
13.0,4.25953029,2.31478385
14.0,4.67975076,2.18633209
15.0,5.2211202,2.09557184
16.0,5.64864085,1.98700493
17.0,6.28129954,1.89832308
18.0,6.80986257,1.92734892
19.0,7.32939867,1.99454473
20.0,7.77877917,1.95837238
21.0,8.32887218,1.86226689
22.0,8.92268243,1.89902351
23.0,9.48296131,2.10905669
