# ===================================================================
#                          METADATA
# ===================================================================
# -------------------- General Information --------------------------
# 1. Title: Coarse-grained simulations data - LCrMAr used in the artile 
# "Ionic Liquid--Electrode Interface: from One Law To Fit Them All to One Model To Predict Them All".
# 2. DOI: https://doi.org/10.1016/j.elecom.2025.108049
# 3. Authors:
#    - Ba Long Nguyen (ORCID: 0009-0003-7682-9851)
#    - Vladislav Ivanistsev (ORCID: 0000-0003-4517-0540)
# 4. Contact: balongn99@gmail.com & vladislav.ivanistsev@gmail.com
# 5. Keywords: differential capacitance, ionic liquids, modelling, fitting.
# 6. Data Format:
#     - Units: Potential (V), Capacitance (μF/cm²), Surface Charge Density (μC/cm²)
#-----------------------------------------------------------
S,U,C
-36.0,-17.77787358,1.47331288
-32.0,-15.05145359,1.50854311
-30.0,-13.7418511,1.55372112
-28.0,-12.4697356,1.60458302
-26.0,-11.23659809,1.6590207
-24.0,-10.04410656,1.71589928
-22.0,-8.89414331,1.77371212
-20.0,-7.78885421,1.83056316
-19.0,-7.25372101,1.88530549
-18.0,-6.73071524,1.93847851
-17.0,-6.22021312,1.99223669
-16.0,-5.72262511,2.04988118
-15.0,-5.23840135,2.11654372
-14.0,-4.76803835,2.20135999
-13.0,-4.31208741,2.31905972
-12.0,-3.87116527,2.48625466
-10.0,-3.03728873,2.70916719
-8.0,-2.2733033,2.96977417
-6.0,-1.5887285,3.22712632
-5.0,-1.33755603,3.44023516
-4.5,-1.19082486,3.59307225
-4.0,-1.05757416,3.69724601
-3.5,-0.92841827,3.77363454
-3.0,-0.78367518,3.83354798
-2.5,-0.66429409,3.87337044
-2.0,-0.53239152,3.88246872
-1.5,-0.41019812,3.85744684
-1.0,-0.28304792,3.8151019
-0.5,-0.14751724,3.7971453
-0.25,-0.0795123,3.86113416
0.0,0.0,4.05849361
0.25,0.06237433,4.40800382
0.5,0.12131692,4.87483016
1.0,0.22195643,5.36732917
1.5,0.30622031,5.76627644
2.0,0.37369298,5.98186524
2.5,0.46491487,5.99826142
3.0,0.540774,5.86790874
3.5,0.63043964,5.66662126
4.0,0.7264718,5.45089275
4.5,0.8149609,5.24167502
5.0,0.91713738,5.03085923
6.0,1.11750276,4.79853291
8.0,1.51156245,4.53351646
10.0,1.9643997,4.24812124
12.0,2.48321079,3.97450119
13.0,2.75653958,3.74349049
14.0,3.03856559,3.56612318
15.0,3.32891427,3.43360735
16.0,3.62725153,3.32979454
17.0,3.93327702,3.24118584
18.0,4.24671896,3.15908969
19.0,4.5673299,3.07793363
20.0,4.89488345,2.99427021
22.0,5.57000158,2.90722509
24.0,6.27058846,2.81854462
26.0,6.99536051,2.73113194
28.0,7.74319454,2.647302
30.0,8.51309739,2.56882257
32.0,9.30418314,2.49899593
36.0,10.94679343,2.4444802
