# ===================================================================
#                          METADATA
# ===================================================================
# -------------------- General Information --------------------------
# 1. Title: Coarse-grained simulations data - LCrSAr used in the artile 
# "Ionic Liquid--Electrode Interface: from One Law To Fit Them All to One Model To Predict Them All".
# 2. DOI: https://doi.org/10.1016/j.elecom.2025.108049
# 3. Authors:
#    - Ba Long Nguyen (ORCID: 0009-0003-7682-9851)
#    - Vladislav Ivanistsev (ORCID: 0000-0003-4517-0540)
# 4. Contact: balongn99@gmail.com & vladislav.ivanistsev@gmail.com
# 5. Keywords: differential capacitance, ionic liquids, modelling, fitting.
# 6. Data Format:
#     - Units: Potential (V), Capacitance (μF/cm²), Surface Charge Density (μC/cm²)
#-----------------------------------------------------------
S,U,C
-74.0,-50.1487355,1.00307229
-72.0,-48.1620574,1.01446288
-70.0,-46.202564,1.02835747
-68.0,-44.270644,1.04344654
-66.0,-42.3667036,1.06153041
-64.0,-40.4911668,1.09121786
-58.0,-35.0395286,1.14225669
-50.0,-28.1979547,1.20672631
-46.0,-24.9707654,1.26899228
-42.0,-21.8799229,1.33073335
-38.0,-18.9318383,1.40017175
-34.0,-16.1339171,1.48189356
-30.0,-13.4948462,1.57963761
-26.0,-11.0250123,1.6935253
-22.0,-8.73714168,1.8079851
-20.0,-7.66630161,1.89829346
-19.0,-7.15016878,1.96294084
-18.0,-6.64733887,2.01910535
-17.0,-6.15817966,2.07773778
-16.0,-5.68309107,2.14168248
-15.0,-5.22251011,2.21199552
-14.0,-4.77691699,2.28982238
-13.0,-4.34684271,2.3766188
-12.0,-3.93287877,2.47422614
-11.0,-3.53568951,2.58366439
-10.0,-3.15602845,2.69207145
-9.0,-2.79476025,2.75325062
-8.0,-2.45289096,2.78402865
-7.0,-2.02637272,2.92059755
-6.0,-1.71116511,3.15990404
-5.0,-1.40925537,3.36313937
-4.5,-1.26316685,3.48491957
-4.0,-1.12541245,3.53146585
-3.5,-0.98265929,3.51711501
-3.0,-0.84200676,3.48151296
-2.5,-0.693950321,3.47650621
-2.0,-0.549687021,3.52147648
-1.5,-0.410943103,3.59615058
-1.25,-0.340702506,3.72953843
-1.0,-0.27324798,3.92603579
-0.75,-0.214469485,4.18493686
-0.5,-0.150999468,5.5853367
-0.25,-0.0954695412,11.59511821
0.0,0.0,20.27711577
0.25,0.0077461285,20.42354991
0.5,0.0470675058,12.49829713
0.75,0.0944364759,7.24941913
1.0,0.136374028,6.35987009
1.25,0.173250987,6.71441775
1.5,0.212719421,7.68178341
2.0,0.279397801,9.40272944
2.5,0.324127881,11.13403112
3.0,0.366978958,12.26672762
3.5,0.40357335,12.82597336
4.0,0.446565121,13.01275842
4.5,0.480448161,12.57435476
5.0,0.524812489,11.55121969
6.0,0.616044223,10.72454917
7.0,0.720801474,10.25203074
8.0,0.808169921,9.48740478
9.0,0.934938742,8.42836374
10.0,1.06475798,7.75108782
11.0,1.19738432,7.48547756
12.0,1.3326145,7.3370928
13.0,1.47027596,7.21107151
14.0,1.61022008,7.09674822
15.0,1.75231745,6.99207957
16.0,1.89645418,6.89566642
17.0,2.04252924,6.80638256
18.0,2.19045229,6.72307801
19.0,2.34014202,6.64168654
20.0,2.49152483,6.54541947
22.0,2.79910749,6.40714103
26.0,3.43198887,6.22761348
30.0,4.08609028,6.04404506
34.0,4.75913998,5.88110398
38.0,5.44935382,5.7400285
42.0,6.15528914,5.61621026
46.0,6.8757526,5.5025178
50.0,7.60973877,5.38398353
58.0,9.11495437,5.25824759
64.0,10.2737447,5.15708154
66.0,10.6653082,5.09719529
68.0,11.0594148,5.05989697
70.0,11.4560056,5.02829801
72.0,11.8550244,4.99895271
74.0,12.2564182,4.97476512
